Job Title,Company,Salary,Experience,Location,Skills,Source
Fullstack Software Engineer,Talosix,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Mid/ Senior Game developer ( Cocos Creator ),BinarixTech,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Senior QC Engineer,Vietlink,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
.NET Developer (Mortgage Systems),Topicus Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Chuyên viên Phát triển MIS (Data Analyst/ Engineer, BI)",SACOMBANK,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Chuyên viên QC (Automation Tester/ QA QC),SACOMBANK,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Requirements Management Tools DevOps Engineer,Renesas Design Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Data Engineer (Java, Kafka, Spark, Flink, Hadoop)",Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Security Operations Center Analyst (IT Support),Mắt Bão BPO,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Quản trị hệ thống Cơ sở Dữ liệu (DBA - Database Admin),SACOMBANK,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
CV Quản Trị Hệ Thống/ System Admin (Unix/ Linux),SACOMBANK,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Data Analyst (Power BI, SQL, BI Developer, BA)",Tổng công ty Tân Cảng Sài Gòn (Saigon NewPort Corporation),Thỏa thuận,N/A,Ho Chi Minh,,ITViec
AI Workflow Engineer (Node.js / AI Automation),AiClipX,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Web Developer (PHP & JavaScript),Deliveree On-Demand Logistics,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Manual Tester (QA QC),DeliGroup,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Middle/SeniorCloud Infrastructure Engineer (AWS/Kuber),Ngân hàng TMCP Phương Đông | OCB,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Middle/Senior Database Administrator (DBA),Ngân hàng TMCP Phương Đông | OCB,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Senior Backend Developer (Java, Golang, SQL, Database)",10X Technology and Consulting,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Senior Product Owner – B2B SaaS (ERP / E-Office),MYMIND,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Data Engineer (SQL, Agile)",Live Payments,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Senior C#/.NET Engineer (ReactJS, English)",HRS Group,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Senior / Lead AI Engineer (English Speaking),Topicus Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Data Engineer (Python, PowerBI, SnowFlake, DataBrick)",FPT Digital,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Scrum Master (Scrum, Kanban, PSM I/CSM, Cloud, Azure)",FPT Digital,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"AI Engineer (Generative AI, MLOps, Scikit-learn, Azure)",FPT Digital,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Senior Business Analyst,New Ocean IS,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Senior ReactJS Developer,SSTech,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Junior Web Developer (Ruby on Rails, ReactJS, VueJS)",Motorist Pte Ltd,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
